School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Kearney,3.68,6.58,10.25,4,1,1
Platte County,4.03,5.2,9.24,2,4,2
Belton,2.88,5.45,8.33,9,3,3
Washington,4.53,3.61,8.15,1,14,4
Rockwood Summit,4.03,3.7,7.73,3,12,5
Westminster Christian Academy,2.52,4.97,7.5,12,5,6
St. Dominic,3.29,4.1,7.39,7,10,7
Marshfield,2.62,4.31,6.93,11,8,8
Father Tolton,1.91,4.66,6.57,14,7,9
Camdenton,0.2,5.52,5.72,31,2,10
Smithville,3.49,2.01,5.5,5,17,11
Notre Dame (Cape Girardeau),0.55,4.94,5.49,25,6,12
Jefferson City,1.01,4.2,5.21,19,9,13
Hillsboro,1.29,3.62,4.92,18,13,14
Cor Jesu Academy,3.35,1.52,4.87,6,22,15
Festus,0.75,3.93,4.68,22,11,16
Union,2.75,1.84,4.59,10,20,17
Bolivar,3.14,1.37,4.51,8,25,18
Mexico,1.3,2.99,4.29,17,15,19
Capital City,2.02,1.98,4.0,13,18,20
Carl Junction,1.62,1.46,3.08,15,24,21
McDonald County,1.6,1.48,3.07,16,23,22
Monett,0.16,2.43,2.6,32,16,23
Marshall,-0.45,1.83,1.38,37,21,24
Ft. Zumwalt East,0.93,0.31,1.24,20,31,25
Incarnate Word Academy,-0.81,1.85,1.04,39,19,26
St. Charles,0.32,0.6,0.92,29,27,27
Windsor (Imperial),0.43,0.37,0.8,28,29,28
North County,-0.49,1.16,0.66,38,26,29
St. Joseph's Academy,0.3,0.33,0.63,30,30,30
Parkway Central,0.76,-0.42,0.35,21,36,31
Kirksville,0.56,-0.26,0.3,24,34,32
Webster Groves,-0.26,0.51,0.25,36,28,33
Farmington,-0.08,-0.31,-0.4,33,35,34
DeSoto,-1.23,0.26,-0.97,40,32,35
Parkway North,-1.31,0.25,-1.06,41,33,36
Warrenton,0.53,-1.63,-1.1,26,38,37
Warrensburg,0.47,-2.25,-1.78,27,40,38
Poplar Bluff,-0.26,-2.21,-2.47,35,39,39
Winnetonka,-3.1,-1.0,-4.09,47,37,40
St. Teresa's Academy,0.67,-5.03,-4.36,23,49,41
Ft. Zumwalt South,-0.22,-4.77,-4.99,34,48,42
Hillcrest,-2.76,-2.48,-5.24,46,41,43
Hannibal,-2.25,-4.1,-6.35,43,43,44
Pacific,-2.5,-4.14,-6.64,44,44,45
Holt,-1.59,-5.66,-7.24,42,50,46
Raytown,-2.73,-4.71,-7.44,45,47,47
West Plains,-3.91,-4.37,-8.28,48,45,48
Ladue Horton Watkins,-5.42,-3.02,-8.44,53,42,49
Central (Cape Girardeau),-4.04,-4.42,-8.46,49,46,50
Clayton,-4.19,-6.8,-10.99,50,52,51
Sikeston,-5.52,-6.31,-11.84,54,51,52
Raytown South,-5.58,-7.82,-13.4,55,53,53
Nerinx Hall,-6.94,-9.58,-16.52,56,54,54
Lincoln College Prep,-5.12,-11.91,-17.03,52,56,55
University City,-5.0,-13.67,-18.67,51,58,56
McCluer,-9.11,-11.88,-20.98,58,55,57
Affton,-9.69,-12.42,-22.11,59,57,58
Ruskin,-8.68,-14.2,-22.87,57,59,59
